Time,Open,High,Low,Latest,Change,%Change,Volume
2019-03-11,0.02437,0.02437,0.02437,0.02437,0.00001,+0.04%,0
2019-03-08,0.02436,0.02436,0.02436,0.02436,-0.00009,-0.37%,0
2019-03-07,0.02445,0.02445,0.02445,0.02445,-0.00008,-0.33%,0
2019-03-06,0.02453,0.02453,0.02453,0.02453,-0.00004,-0.16%,0
2019-03-05,0.02457,0.02457,0.02457,0.02457,-0.00002,-0.08%,0
2019-03-04,0.02459,0.02459,0.02459,0.02459,-0.00001,-0.04%,0
2019-03-01,0.0246,0.0246,0.0246,0.0246,0,0.00%,0
2019-02-28,0.0246,0.0246,0.0246,0.0246,0,0.00%,0
2019-02-27,0.0246,0.0246,0.0246,0.0246,0.00001,+0.04%,0
2019-02-26,0.02459,0.02459,0.02459,0.02459,0.00005,+0.20%,0
2019-02-25,0.02454,0.02454,0.02454,0.02454,-0.00001,-0.04%,0
2019-02-22,0.02455,0.02455,0.02455,0.02455,0.00002,+0.08%,0
2019-02-21,0.02453,0.02453,0.02453,0.02453,0,0.00%,0
2019-02-20,0.02453,0.02453,0.02453,0.02453,-0.00004,-0.16%,0
2019-02-19,0.02457,0.02457,0.02457,0.02457,0.00001,+0.04%,0
2019-02-15,0.02456,0.02456,0.02456,0.02456,0.00001,+0.04%,0
2019-02-14,0.02455,0.02455,0.02455,0.02455,0.00002,+0.08%,0
2019-02-13,0.02453,0.02453,0.02453,0.02453,0.00001,+0.04%,0
2019-02-12,0.02452,0.02452,0.02452,0.02452,0.00004,+0.16%,0
2019-02-11,0.02448,0.02448,0.02448,0.02448,0.00001,+0.04%,0
2019-02-08,0.02447,0.02447,0.02447,0.02447,-0.00001,-0.04%,0
2019-02-07,0.02448,0.02448,0.02448,0.02448,0,0.00%,0
2019-02-06,0.02448,0.02448,0.02448,0.02448,-0.00001,-0.04%,0
2019-02-05,0.02449,0.02449,0.02449,0.02449,0.00002,+0.08%,0
2019-02-04,0.02447,0.02447,0.02447,0.02447,-0.00004,-0.16%,0
2019-02-01,0.02451,0.02451,0.02451,0.02451,-0.00003,-0.12%,0
2019-01-31,0.02454,0.02454,0.02454,0.02454,0.00001,+0.04%,0
2019-01-30,0.02453,0.02453,0.02453,0.02453,-0.00002,-0.08%,0
2019-01-29,0.02455,0.02455,0.02455,0.02455,-0.00006,-0.24%,0
2019-01-28,0.02461,0.02461,0.02461,0.02461,0,0.00%,0
2019-01-25,0.02461,0.02461,0.02461,0.02461,0.00003,+0.12%,0
2019-01-24,0.02458,0.02458,0.02458,0.02458,0.00001,+0.04%,0
2019-01-23,0.02457,0.02457,0.02457,0.02457,0.00001,+0.04%,0
2019-01-22,0.02456,0.02456,0.02456,0.02456,0.00005,+0.20%,0
2019-01-18,0.02451,0.02451,0.02451,0.02451,0.00005,+0.20%,0
2019-01-17,0.02446,0.02446,0.02446,0.02446,0.00002,+0.08%,0
2019-01-16,0.02444,0.02444,0.02444,0.02444,-0.00003,-0.12%,0
2019-01-15,0.02447,0.02447,0.02447,0.02447,0.00005,+0.20%,0
2019-01-14,0.02442,0.02442,0.02442,0.02442,-0.00003,-0.12%,0
2019-01-11,0.02445,0.02445,0.02445,0.02445,-0.00003,-0.12%,0
2019-01-10,0.02448,0.02448,0.02448,0.02448,0.00009,+0.37%,0
2019-01-09,0.02439,0.02439,0.02439,0.02439,0.00009,+0.37%,0
2019-01-08,0.0243,0.0243,0.0243,0.0243,0.00002,+0.08%,0
2019-01-07,0.02428,0.02428,0.02428,0.02428,-0.00002,-0.08%,0
2019-01-04,0.0243,0.0243,0.0243,0.0243,-0.00003,-0.12%,0
"Downloaded from Barchart.com as of 03-24-2026 08:09am CDT"
